Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLRIV20150330Yes please / Amy Poehler,EPLRIV,Riverbend Branch,23,Yes please / Amy Poehler,Poehler Amy,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLRIV20150330The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLRIV,Riverbend Branch,25,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLRIV20150330All the light we cannot see : a novel / Anthony Doerr,EPLRIV,Riverbend Branch,26,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLRIV20150330The maze runner / James Dashner,EPLRIV,Riverbend Branch,32,The maze runner / James Dashner,Dashner James,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLRIV20150330The girl on the train / Paula Hawkins,EPLRIV,Riverbend Branch,92,The girl on the train / Paula Hawkins,Hawkins Paula,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLRIV20150406Ru / Kim Thauy ; translated from the French by Sheila Fischman,EPLRIV,Riverbend Branch,20,Ru / Kim Thauy ; translated from the French by Sheila Fischman,Thauy Kim,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=ru%20/%20kim
EPLRIV20150406Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLRIV,Riverbend Branch,21,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLRIV20150406Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],EPLRIV,Riverbend Branch,21,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLRIV20150406Yes please / Amy Poehler,EPLRIV,Riverbend Branch,22,Yes please / Amy Poehler,Poehler Amy,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLRIV20150406The Rosie project / Graeme Simsion. --,EPLRIV,Riverbend Branch,24,The Rosie project / Graeme Simsion. --,Simsion Graeme C,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLRIV20150406The nightingale / Kristin Hannah,EPLRIV,Riverbend Branch,24,The nightingale / Kristin Hannah,Hannah Kristin,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20nightingale%20/
EPLRIV20150406All the light we cannot see : a novel / Anthony Doerr,EPLRIV,Riverbend Branch,25,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLRIV20150406The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLRIV,Riverbend Branch,25,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLRIV20150406The maze runner / James Dashner,EPLRIV,Riverbend Branch,31,The maze runner / James Dashner,Dashner James,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLRIV20150406The girl on the train / Paula Hawkins,EPLRIV,Riverbend Branch,91,The girl on the train / Paula Hawkins,Hawkins Paula,04/06/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLRIV20150413Heir  / by Kiera  Cass,EPLRIV,Riverbend Branch,20,Heir  / by Kiera  Cass,Cass Kiera,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=heir%20/%20by
EPLRIV20150413Ru / Kim Thauy ; translated from the French by Sheila Fischman,EPLRIV,Riverbend Branch,20,Ru / Kim Thauy ; translated from the French by Sheila Fischman,Thauy Kim,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=ru%20/%20kim
EPLRIV20150413Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLRIV,Riverbend Branch,20,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLRIV20150413Inside the O'Briens : a novel / Lisa Genova,EPLRIV,Riverbend Branch,20,Inside the O'Briens : a novel / Lisa Genova,Genova Lisa,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=inside%20the%20o%27briens
EPLRIV20150413The Rosie project / Graeme Simsion. --,EPLRIV,Riverbend Branch,21,The Rosie project / Graeme Simsion. --,Simsion Graeme C,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLRIV20150413All the light we cannot see : a novel / Anthony Doerr,EPLRIV,Riverbend Branch,24,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,04/13/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
